72 232
18 46 1
3 45 1
31 71 2
29 47 3
7 13 2
50 72 2
29 59 3
41 58 2
41 65 1
2 53 3
22 57 2
31 65 1
9 12 1
32 60 1
39 47 2
15 43 1
30 48 1
48 59 1
48 63 3
43 56 2
28 65 1
8 44 2
29 68 3
7 47 3
20 30 2
2 58 3
7 69 3
11 14 3
45 55 1
44 70 2
49 66 3
22 28 3
47 72 2
18 47 3
2 3 1
29 31 1
20 65 1
58 60 3
36 57 1
1 28 2
48 50 2
29 65 1
15 27 2
34 56 3
24 62 3
70 71 3
18 51 3
3 65 3
11 18 1
12 15 1
14 22 3
59 65 1
48 57 2
38 71 2
41 57 1
10 71 3
15 72 3
28 57 3
34 45 1
27 48 3
10 53 3
11 64 1
3 72 2
26 35 2
11 71 2
63 70 2
6 8 2
2 45 2
43 50 3
30 49 3
1 26 2
1 71 1
1 16 3
1 7 3
57 60 3
16 25 2
4 48 1
18 65 2
16 37 3
30 31 1
24 48 1
39 43 2
64 67 2
42 69 1
6 63 3
33 67 2
12 33 3
29 33 2
52 54 1
14 25 2
16 70 2
9 18 3
65 69 2
24 51 1
11 28 1
56 69 2
44 63 2
35 59 1
5 12 3
34 41 3
38 46 1
2 25 2
14 20 3
57 59 1
24 57 2
50 68 2
13 30 1
63 69 3
14 69 2
17 35 1
43 60 2
34 69 2
20 51 2
19 56 1
39 53 1
47 49 2
8 48 1
1 66 2
26 33 3
57 69 1
25 37 3
46 68 2
8 29 2
35 64 3
37 45 2
1 53 1
31 48 2
14 28 3
30 32 3
37 61 2
15 47 3
8 72 3
14 71 2
35 45 2
68 71 1
49 67 3
31 67 3
7 12 1
38 40 2
1 50 3
7 40 3
23 48 1
2 44 1
1 22 3
26 34 3
22 46 1
44 48 3
27 68 2
53 65 2
31 35 3
5 46 2
36 68 1
35 57 2
53 60 2
33 53 1
2 60 2
18 49 3
8 11 3
18 40 1
17 22 1
39 63 3
40 71 1
24 47 3
65 66 2
48 68 1
32 55 2
20 39 3
34 66 1
37 72 2
29 67 1
28 35 2
8 63 2
8 66 1
53 70 2
5 26 3
32 68 3
3 10 1
11 33 2
49 58 2
51 62 1
35 60 3
10 13 2
46 70 1
61 63 1
3 68 2
9 43 1
21 28 1
4 40 1
17 44 2
22 29 1
22 43 3
4 26 3
20 62 1
47 60 3
12 30 3
32 56 1
37 38 1
42 59 2
45 48 1
38 60 3
61 65 3
17 59 3
56 61 3
32 67 3
43 48 1
27 45 2
13 31 1
37 67 1
26 48 3
15 70 3
25 53 2
67 70 2
23 47 1
33 51 3
23 54 3
7 41 1
11 21 1
15 35 3
10 12 1
48 69 1
18 55 1
18 56 3
19 60 1
6 43 1
8 57 3
21 25 1
26 63 2
39 54 2
37 39 2
3 51 2
3 61 3
46 58 2
29 1
3 14 2
56 206
15 48 3
21 43 1
19 28 2
25 31 3
16 31 2
44 55 2
5 33 2
20 46 3
24 33 2
7 30 3
5 45 2
46 50 3
5 30 1
14 49 2
23 32 1
5 52 2
37 40 3
26 32 2
36 56 3
1 53 1
37 44 1
23 50 3
6 12 1
17 29 2
11 40 2
1 24 2
48 54 2
19 48 1
4 40 2
18 53 1
19 36 1
18 47 2
11 31 1
31 40 3
9 24 1
2 42 2
3 28 1
5 11 2
8 56 2
41 52 2
12 40 3
15 32 2
24 30 1
24 46 1
24 37 1
16 39 2
31 47 3
13 24 3
7 34 1
48 56 1
22 43 3
12 43 3
21 36 3
8 18 1
17 42 3
4 26 2
25 53 2
32 38 1
11 38 2
30 44 1
10 46 3
3 32 2
4 5 2
8 34 1
24 49 2
6 21 2
37 47 3
24 28 3
18 34 1
22 44 3
36 43 1
35 41 3
33 34 3
29 34 1
10 52 1
28 51 3
22 41 3
6 19 3
14 42 1
7 29 2
33 39 3
20 35 2
22 55 3
34 39 3
45 52 1
21 52 2
21 25 1
43 48 1
15 41 3
49 55 2
42 44 1
19 22 2
1 5 3
36 41 3
34 37 2
1 15 3
24 38 2
26 49 1
2 39 2
14 25 3
18 23 2
36 51 3
6 17 2
11 34 2
32 43 2
8 19 1
19 25 2
20 48 1
20 24 3
1 6 2
15 53 1
2 37 1
26 36 3
38 44 3
24 45 3
9 27 2
5 42 1
50 52 2
30 55 1
14 27 3
33 55 3
5 9 3
37 38 3
28 34 1
29 46 1
1 27 2
12 30 3
7 32 1
19 27 1
21 33 2
20 21 1
25 55 1
17 55 1
15 35 2
34 52 2
28 50 1
17 21 1
47 50 3
9 10 3
51 55 3
23 35 3
18 37 3
35 55 2
35 40 2
39 47 1
9 28 3
30 56 2
11 14 1
16 26 3
39 42 3
11 29 1
27 31 2
14 15 2
3 42 3
12 23 1
17 51 1
43 44 3
28 33 1
5 48 1
6 38 2
18 43 3
14 55 3
17 46 1
3 16 3
12 19 3
40 42 2
8 40 3
4 47 1
12 56 3
18 26 2
18 29 2
4 28 2
31 43 2
12 22 3
22 47 3
2 27 2
10 44 2
25 44 2
8 14 2
22 37 2
14 40 1
15 33 3
45 55 2
3 8 1
19 42 1
5 31 2
22 56 3
23 44 1
49 53 3
15 55 3
12 35 1
23 28 1
14 29 1
26 55 1
5 36 2
32 41 1
35 49 1
15 27 2
41 56 2
5 6 1
20 28 1
28 36 1
4 38 1
21 55 1
45 54 1
6 52 2
11 49
5 9 1
6 7 2
1 11 3
6 10 2
3 4 2
5 10 1
7 9 1
6 8 3
3 9 3
1 8 3
4 5 1
1 6 1
10 11 2
8 11 3
2 10 2
5 8 1
7 11 2
2 8 3
1 10 2
6 11 3
4 6 3
1 3 1
2 6 1
2 5 3
2 7 1
6 9 1
4 7 2
7 10 2
4 8 1
2 9 2
1 5 2
5 6 3
8 10 2
3 6 2
3 8 2
