21
60 165
16 21 298
40 5 805
11 59 81
37 40 823
35 19 180
33 28 874
25 43 85
18 39 215
10 37 307
29 42 393
41 4 585
45 34 394
35 13 27
14 58 380
33 52 872
52 55 69
26 5 869
5 37 206
33 9 973
15 60 711
18 55 960
44 57 83
48 46 901
45 29 942
28 49 398
15 42 435
11 52 448
48 18 922
48 1 538
39 45 663
33 58 108
29 43 482
6 4 658
34 8 27
22 18 103
56 59 67
47 32 792
5 30 742
57 24 753
42 50 512
39 31 412
13 21 728
16 46 853
16 6 504
33 2 372
31 10 708
54 40 582
15 13 863
38 24 445
28 31 301
50 7 833
2 8 689
47 36 953
44 54 525
45 45 346
55 57 195
26 49 817
30 27 660
54 1 334
16 23 69
14 35 527
21 8 506
57 54 488
50 47 511
26 47 912
22 11 483
10 5 603
28 45 133
28 40 124
51 12 640
17 3 262
24 35 714
9 60 411
47 11 899
25 5 680
35 27 817
40 44 708
24 26 934
3 29 358
6 18 114
60 21 505
26 30 362
25 8 756
27 25 637
23 32 842
50 55 785
33 40 282
50 27 530
18 33 187
27 6 590
40 22 876
9 45 192
16 24 734
33 12 680
4 38 849
58 28 844
30 45 146
56 41 50
28 53 379
25 59 256
46 10 13
31 21 221
46 50 283
57 43 302
34 2 175
54 36 273
38 7 412
19 2 300
11 46 871
9 40 862
10 60 698
23 51 573
12 50 851
46 5 977
39 44 586
15 18 903
13 50 19
7 50 599
52 38 791
23 44 162
14 15 303
4 32 89
54 2 92
50 26 666
26 39 560
43 17 242
32 48 247
22 56 411
51 15 473
34 43 502
49 4 446
20 34 626
13 26 645
39 21 94
9 1 347
25 19 889
12 44 682
59 21 137
13 12 247
48 38 882
43 27 593
16 30 768
33 28 670
53 11 149
45 43 874
55 33 118
30 13 95
50 24 895
1 41 115
39 55 547
57 43 43
26 11 908
45 50 609
47 42 549
30 11 774
54 33 843
6 26 999
21 15 487
1 2 411
48 45 932
22 16 552
33 20 718
14 40 744
55 23 586
58 51 717
66 79
54 21 77
56 36 958
49 31 423
46 1 313
38 10 131
6 50 302
35 28 70
49 5 138
6 64 756
49 13 527
4 22 450
37 56 62
1 7 161
66 10 671
9 64 802
58 23 485
17 26 886
20 43 30
15 27 450
27 37 587
46 37 900
33 20 681
37 58 431
45 12 67
40 11 715
63 46 424
22 17 623
62 25 639
23 14 447
59 7 362
27 47 56
46 24 607
37 36 352
48 48 333
57 57 245
36 8 910
50 15 937
9 37 397
20 11 500
24 66 621
5 10 977
26 2 706
61 22 563
40 14 16
30 49 810
36 57 52
48 59 921
16 14 299
25 30 910
22 1 511
31 32 381
30 21 108
51 54 683
63 58 918
45 43 187
33 16 589
23 22 545
34 11 678
61 9 628
61 23 531
24 61 440
43 37 30
30 37 291
21 31 572
63 62 898
10 55 203
31 15 398
42 23 728
48 44 660
4 23 314
65 23 0
33 53 77
3 45 559
31 22 698
25 60 202
13 11 570
26 57 855
46 58 355
23 25 372
33 176
6 28 363
17 24 196
4 23 369
18 26 214
20 23 631
19 12 635
