100
40 39
14 22 290
34 22 47
37 14 198
39 34 -827
28 34 -849
33 37 -747
6 14 -350
15 6 -809
3 39 427
24 22 -165
29 15 181
25 15 332
7 14 843
20 24 488
36 15 -611
35 29 -295
8 14 212
4 6 387
16 4 -20
38 6 274
0 28 582
10 37 -180
5 22 -83
18 36 430
19 28 19
2 25 -98
11 6 -808
12 22 -367
23 14 -195
32 36 776
9 35 -286
31 33 283
1 31 438
26 19 731
30 11 907
17 32 403
13 15 -989
27 1 -997
21 32 -939
49 566
13 29 188
6 13 -910
28 29 480
14 29 -254
2 14 406
9 29 -595
32 9 973
22 9 263
15 13 93
30 32 -379
26 14 412
25 6 246
4 26 -282
19 4 582
7 30 426
36 14 631
20 22 -699
21 26 -206
16 9 -568
46 26 -508
18 7 639
8 36 194
37 15 423
47 26 905
38 13 576
1 47 618
3 4 513
5 14 -467
24 21 -805
27 46 496
41 8 368
42 15 -7
33 42 524
10 36 102
48 36 757
35 24 -562
40 22 -367
45 8 -108
12 42 241
17 45 -833
34 9 529
44 17 59
43 9 -318
23 24 -673
11 32 -53
0 34 983
31 45 -396
39 3 494
15 35 506
44 25 -904
1 9 321
45 10 -520
21 37 386
38 6 410
14 22 504
27 47 -186
40 3 288
32 42 -100
15 40 -29
26 39 828
41 35 -716
38 5 842
29 9 681
45 4 -724
15 23 410
18 44 -545
29 5 228
48 25 881
19 11 545
38 21 183
15 30 -345
25 35 647
35 41 -231
20 8 -981
0 1 -759
24 4 -585
19 45 303
42 33 -674
4 19 -372
4 16 -454
38 41 122
47 3 90
39 46 -133
4 7 -965
28 40 -169
2 30 410
38 17 996
9 33 475
8 16 -303
13 30 -744
21 34 693
5 16 -250
15 20 -30
23 38 -446
46 5 -705
21 43 -73
25 33 650
41 45 845
35 0 846
7 36 772
8 2 -970
47 28 519
11 40 573
43 24 456
25 19 -326
30 47 -444
26 29 585
33 10 625
7 42 -732
34 18 527
1 13 804
20 44 457
31 14 671
13 7 577
48 14 -908
25 38 349
40 13 -222
10 48 478
17 33 -627
16 35 549
21 29 64
39 25 966
40 38 -400
48 1 412
23 3 -174
12 11 431
12 1 24
20 29 810
45 36 -28
43 47 -819
18 9 -441
14 11 193
13 6 83
40 5 303
15 19 -238
37 10 881
10 13 -187
15 34 646
5 34 835
0 23 48
38 20 417
41 47 758
26 9 -594
34 8 660
9 37 529
12 37 -748
11 39 722
34 46 512
0 35 -782
3 38 -862
13 23 162
34 45 376
16 25 -892
10 35 422
44 24 539
16 15 224
28 27 553
28 2 645
34 48 535
24 5 -12
47 23 -126
47 1 132
43 38 -751
31 1 -244
4 34 804
34 35 317
8 27 -790
0 16 641
48 16 12
34 42 921
27 33 -257
16 45 435
11 0 386
3 37 879
17 38 -915
4 28 -90
15 26 286
16 38 -969
47 33 -46
35 10 637
26 32 -666
5 38 -792
15 17 -493
15 0 -84
9 32 286
8 23 554
13 12 897
44 29 980
45 3 739
12 40 791
27 9 721
21 32 304
1 12 718
39 16 244
4 3 -833
28 48 619
6 2 584
10 24 872
33 37 173
37 33 -758
8 12 317
35 37 -823
12 5 144
27 23 -900
7 21 -782
13 26 -630
26 31 -151
39 12 557
40 6 -671
48 8 -180
42 9 -971
30 39 -137
23 12 -697
1 40 903
40 33 342
1 48 -881
14 19 -7
27 35 863
0 39 112
6 8 612
19 37 695
41 11 -336
11 27 832
38 22 -877
19 24 297
10 17 -956
37 44 -744
20 6 -200
4 11 -832
38 48 847
34 29 -931
34 14 412
13 21 -724
35 45 -222
19 28 -252
46 25 310
29 6 -221
16 34 82
22 42 -427
31 20 339
24 29 77
14 18 395
44 7 -642
2 8 932
2 11 617
0 19 -517
3 33 -963
27 37 -188
41 30 -505
48 4 62
4 12 -91
9 42 -742
19 39 -754
38 44 -22
32 35 756
44 46 48
36 26 259
1 4 -643
26 44 137
38 43 78
24 45 -823
44 16 -150
25 27 -485
10 45 493
21 39 -827
46 40 323
25 42 628
15 12 -92
41 33 -727
39 23 -836
46 1 -723
39 42 -585
14 20 -938
42 45 -520
20 15 -204
10 11 -309
20 26 446
8 21 101
37 0 7
12 25 867
18 13 862
27 5 301
1 42 843
43 48 299
18 38 131
6 35 -922
48 44 642
33 5 -999
44 0 856
19 47 111
25 48 -773
46 44 -534
26 47 520
34 15 454
7 25 752
40 34 215
29 43 17
41 31 -540
15 2 -358
14 4 -661
24 25 256
46 14 -882
32 13 -567
18 48 702
4 13 -107
37 20 -698
31 21 -923
32 19 301
30 48 244
28 39 -860
11 25 94
35 1 -215
24 3 374
19 31 736
40 19 29
28 0 -665
19 41 -965
22 48 -147
6 15 777
21 14 -820
8 44 255
7 26 35
17 44 -962
42 25 -211
11 47 -478
15 4 405
35 32 965
44 36 58
4 37 862
35 30 797
29 2 228
33 34 -600
47 48 -11
40 17 965
14 43 998
35 19 -45
47 5 734
31 25 732
7 10 496
7 16 -143
17 28 291
46 2 151
5 22 791
2 19 107
41 44 913
20 12 -488
42 37 976
33 20 643
24 39 -386
27 17 526
8 6 -914
37 45 -469
18 10 523
45 12 509
0 29 4
41 15 275
27 22 754
32 10 -998
43 5 499
34 26 -712
20 21 -457
48 38 -414
37 29 -900
37 9 767
34 27 -692
18 43 -392
25 31 -488
48 24 -996
7 29 826
16 44 -454
43 13 7
1 18 -557
16 32 -60
39 7 -727
37 38 -669
28 31 -160
12 32 661
11 5 128
3 39 -733
24 18 805
48 10 788
17 4 187
8 34 -412
28 6 128
1 3 -74
35 33 -663
20 35 623
4 25 159
7 37 346
4 31 -62
14 7 793
5 25 -482
30 12 280
8 25 -499
9 21 663
24 19 -806
21 35 787
19 33 830
19 48 538
17 35 -934
3 25 915
10 5 -342
6 14 288
24 14 -30
1 22 -352
11 44 -271
43 21 880
30 44 758
48 17 556
25 15 -103
10 30 130
40 45 -128
28 8 86
43 22 -589
20 38 -36
42 24 991
12 46 -581
38 37 -17
29 44 -449
25 28 864
32 47 -175
10 4 -639
41 29 919
6 42 598
27 10 503
40 4 338
34 24 320
45 11 -45
20 17 426
39 34 -164
12 17 885
15 38 -697
46 47 -720
47 30 -111
2 45 -687
35 23 -801
48 19 -686
46 32 8
44 13 -533
42 2 226
41 42 777
14 36 -235
27 34 823
38 11 -87
1 45 -56
26 11 361
36 32 540
0 36 -406
8 18 -317
29 32 -810
35 5 -773
20 27 -825
20 39 -559
7 24 533
38 35 378
0 3 -265
32 6 -6
33 24 -384
39 41 89
31 22 -571
3 0 -362
15 22 955
19 25 8
3 19 -397
33 15 130
7 20 -29
25 11 -586
20 9 -228
38 27 935
12 10 285
35 21 -63
22 21 729
47 16 -670
24 8 -987
44 12 -789
11 38 44
33 17 -139
29 37 904
13 27 219
19 29 644
15 48 -733
32 27 431
11 45 445
29 26 463
45 0 772
26 17 -673
26 18 -755
16 1 -64
35 34 -816
46 48 970
24 37 -974
10 40 306
31 19 477
14 44 -124
17 11 904
0 28 990
46 27 -755
12 13 -808
27 36 974
16 10 -554
27 45 506
6 33 771
31 33 -317
34 3 -813
31 32 111
32 44 -15
23 48 -674
47 24 972
6 18 809
21 10 117
38 34 -947
32 31 3
36 17 -776
23 28 -198
46 16 -679
9 43 718
19 13 739
15 21 490
34 21 -230
29 16 -650
6 43 467
14 27 447
45 15 511
45 9 577
22 6 -220
37 18 -845
0 5 464
15 28 -366
12 27 605
19 7 471
42 20 -151
2 46 292
37 22 -384
19 8 87
8 4 -667
9 1 762
8 10 -182
9 45 -675
29 14 -920
43 23 492
8 29 -335
37 7 767
13 42 -579
35 47 -20
27 1 -525
33 1 -639
43 18 721
40 11 -170
24 31 711
4 30 -526
27 43 940
21 44 702
39 13 -758
11 19 283
41 23 -771
28 42 -930
28 36 886
19 27 132
29 17 907
17 46 -238
17 22 -165
30 45 939
43 34 -6
18 4 -83
19 40 -911
31 0 860
14 36
10 2 600
4 2 -735
11 4 -106
8 2 -123
3 8 546
6 8 -672
9 3 350
0 2 -378
13 6 -345
7 6 -5
5 8 -256
1 5 -86
12 2 -625
3 9 182
9 12 374
11 0 828
13 7 84
0 4 -960
10 11 -443
8 0 986
4 10 295
3 6 0
5 9 563
11 3 93
2 5 1
5 2 761
10 5 -685
13 12 -111
11 9 -738
3 7 663
9 5 -941
12 0 954
8 13 -610
13 9 732
13 0 52
9 10 134
22 22
1 13 -114
15 13 -836
12 13 840
16 13 878
9 15 17
11 13 462
6 16 -301
17 11 125
18 15 -912
2 11 -720
10 18 779
0 1 -218
8 13 -156
7 8 204
5 8 -976
21 2 937
19 13 -393
20 21 -629
4 19 -779
3 21 -173
14 3 33
21 13 -518
13 39
12 3 633
4 3 -185
1 4 -361
9 12 -889
10 3 1000
11 1 -725
5 9 -622
6 10 -594
0 6 573
2 10 756
7 2 367
8 5 529
12 8 864
6 7 -809
7 0 -48
3 2 -442
0 5 -449
9 11 490
5 3 651
4 0 -183
8 10 -627
6 5 -627
10 0 420
11 5 -805
10 1 -740
11 12 804
7 6 -87
3 11 632
3 4 -557
6 2 -711
4 7 -556
4 8 241
0 2 922
11 3 327
8 7 43
1 11 -83
8 12 -440
4 1 -21
7 11 890
19 69
17 7 -934
11 7 100
6 7 -942
13 11 286
16 13 294
3 16 983
15 7 585
1 3 380
18 13 192
5 11 508
14 1 369
2 6 -341
8 2 941
9 8 -947
12 5 907
10 1 365
4 14 -282
0 17 746
7 2 -713
2 11 472
12 8 -173
16 7 152
5 13 573
6 5 -309
11 6 45
13 15 302
12 7 -524
17 15 -799
0 16 -135
13 14 -255
18 10 -288
8 5 -503
13 3 -954
0 13 -867
8 6 798
12 14 548
6 17 326
11 1 186
5 7 -612
15 5 -463
5 18 933
12 6 455
3 17 839
9 7 -154
18 6 516
17 6 -155
5 15 600
7 0 -740
3 9 -393
13 9 -926
11 10 -925
0 9 -657
6 12 578
14 15 -535
6 0 -890
10 11 -181
8 1 919
15 4 -558
10 5 -319
10 4 841
3 18 769
9 18 -518
18 14 521
18 9 -235
1 17 130
13 12 -955
2 14 -162
15 11 48
7 18 -425
19 18
0 12 -577
6 0 353
18 12 -824
5 0 383
9 5 173
7 18 77
14 5 -786
2 5 -533
15 12 494
4 15 -638
13 2 -175
17 12 -275
1 17 -234
3 15 166
11 7 275
10 6 170
16 13 -976
8 1 -690
12 11
0 9 336
4 9 -827
11 9 -670
7 11 -892
1 0 -334
6 9 -933
5 9 -189
3 0 -339
2 4 -73
10 7 -800
8 3 -933
36 35
12 11 -994
9 11 823
16 9 434
35 9 162
28 9 -372
30 11 643
31 9 944
25 11 -741
15 35 -451
33 15 -961
17 33 -847
23 31 -890
10 28 190
3 30 -210
0 17 338
18 16 -804
34 17 -824
2 25 -837
29 18 -749
5 23 713
13 33 229
26 15 149
14 12 40
22 28 297
21 12 274
27 23 -446
8 35 -760
4 2 943
20 3 -979
7 34 -517
6 29 -97
19 25 -652
32 14 -142
1 4 -571
24 0 885
19 75
18 11 295
0 11 -364
17 0 456
8 18 -739
9 0 548
2 17 770
6 0 -635
5 0 979
10 0 326
16 5 89
4 18 -286
12 6 88
7 11 855
14 2 -848
15 2 448
3 9 485
13 8 136
1 5 -115
0 2 -774
14 6 973
17 6 -482
9 15 626
15 16 -365
16 4 -949
9 1 942
2 15 699
15 5 845
18 15 48
5 15 624
14 8 -674
13 16 778
7 9 -360
15 18 781
18 2 614
10 16 -423
1 6 370
1 7 153
7 2 -858
13 14 569
5 10 -173
6 11 -176
7 15 -842
18 17 961
5 12 130
6 12 -980
0 10 -356
2 7 -773
6 16 -350
10 12 -347
17 18 -372
5 9 -362
13 4 647
12 7 -502
3 14 -802
17 8 566
16 18 -359
17 15 51
